,id_num,cc_num,cc_score,cc_name
0,6029,15,10.0,금강
1,186,53,10.0,비에이비스타퍼블릭
2,460,68,10.0,스카이밸리
3,3498,44,10.0,몽베르
4,887,73,3.5,썬힐
5,1047,78,10.0,아일랜드
6,3900,124,10.0,포천힐스
7,2500,83,5.5,양지파인
8,2500,24,9.0,뉴서울
9,5262,107,8.5,캐슬파인
10,4585,53,8.0,비에이비스타퍼블릭
11,180,110,9.0,큐로
12,3896,24,10.0,뉴서울
13,5622,83,10.0,양지파인
14,1047,78,10.0,아일랜드
15,819,24,10.0,뉴서울
16,3016,122,10.0,포천아도니스
17,3372,53,8.5,비에이비스타퍼블릭
18,2509,110,10.0,큐로
19,5124,13,10.0,그린힐
20,3910,75,8.0,아리지
21,4363,24,10.0,뉴서울
22,1498,24,3.0,뉴서울
23,1549,75,9.0,아리지
24,2655,57,9.0,샴발라
25,3407,78,10.0,아일랜드
26,5089,107,10.0,캐슬파인
27,610,28,10.0,더크로스비
28,573,42,10.0,마에스트로
29,5042,58,10.0,서서울
30,1378,110,3.0,큐로
31,1378,108,10.0,코리아
32,3655,94,10.0,이글몬트
33,5948,111,10.0,크리스탈밸리
34,4435,87,10.0,여주신라
35,5646,28,8.0,더크로스비
36,5001,122,7.5,포천아도니스
37,2520,12,3.0,골프클럽Q(구 안성Q)
38,1791,37,8.5,루나힐스안성
39,4265,78,10.0,아일랜드
40,3137,110,10.0,큐로
41,2961,106,7.0,캐슬렉스
42,3971,122,9.0,포천아도니스
43,5976,1,9.5,360도
44,5790,71,10.0,실크밸리
45,1588,84,8.0,양평TPC
46,4594,19,8.0,남서울
47,5201,53,8.0,비에이비스타퍼블릭
48,5201,53,7.5,비에이비스타퍼블릭
49,4733,28,8.0,더크로스비
50,3381,73,7.0,썬힐
51,3279,53,7.0,비에이비스타퍼블릭
52,5795,28,7.5,더크로스비
53,5049,15,8.0,금강
54,3919,110,10.0,큐로
55,3570,83,10.0,양지파인
56,3818,80,10.0,안성베네스트
57,1588,84,7.0,양평TPC
58,1258,13,8.5,그린힐
59,3919,110,10.0,큐로
60,3019,28,10.0,더크로스비
61,1822,37,10.0,루나힐스안성
62,4260,83,9.5,양지파인
63,5183,6,9.0,강남300
64,5443,58,6.0,서서울
65,777,37,4.0,루나힐스안성
66,5694,122,5.5,포천아도니스
67,5912,28,9.0,더크로스비
68,4798,129,10.0,한림광릉
69,3727,108,10.0,코리아
70,3081,53,3.5,비에이비스타퍼블릭
71,2560,108,10.0,코리아
72,805,107,9.0,캐슬파인
73,1411,53,6.5,비에이비스타퍼블릭
74,4298,28,6.5,더크로스비
75,4950,24,9.5,뉴서울
76,199,58,10.0,서서울
77,2161,83,7.5,양지파인
78,2964,136,10.0,화성(P9)
79,4280,1,9.0,360도
80,1539,107,10.0,캐슬파인
81,1598,125,9.0,푸른솔포천
82,444,57,3.5,샴발라
83,2457,107,10.0,캐슬파인
84,1231,108,8.0,코리아
85,799,136,10.0,화성(P9)
86,2671,99,10.0,자유
87,2864,38,8.5,루트52
88,796,96,10.0,이포
89,5337,96,10.0,이포
90,4059,125,10.0,푸른솔포천
91,3913,44,8.0,몽베르
92,4787,122,10.0,포천아도니스
93,4424,12,8.0,골프클럽Q(구 안성Q)
94,4182,19,10.0,남서울
95,744,30,9.0,라싸
96,486,96,9.0,이포
97,1860,84,10.0,양평TPC
98,4787,111,10.0,크리스탈밸리
99,3672,80,10.0,안성베네스트
100,2556,70,8.5,신안(P9)
101,3672,80,10.0,안성베네스트
102,2665,57,9.0,샴발라
103,4710,52,9.0,비에이비스타
104,734,50,8.0,블루원용인(P9)
105,3911,38,9.5,루트52
106,3521,72,10.0,써닝포인트
107,5965,41,5.0,링크나인(P9)
108,1588,40,7.5,리앤리
109,1924,96,10.0,이포
110,3840,112,4.0,타이거
111,4709,28,9.0,더크로스비
112,5392,129,8.0,한림광릉
113,5790,46,7.5,베뉴지
114,2624,50,10.0,블루원용인(P9)
115,3022,16,10.0,기흥
116,3481,122,9.0,포천아도니스
117,479,38,10.0,루트52
118,4905,83,6.0,양지파인
119,5293,125,10.0,푸른솔포천
120,4921,6,4.0,강남300
121,1924,128,10.0,필로스
122,3336,38,10.0,루트52
123,652,9,5.5,골드
124,3442,52,3.0,비에이비스타
125,1376,96,9.5,이포
126,3763,58,8.0,서서울
127,1829,6,5.0,강남300
128,882,68,10.0,스카이밸리
129,29,19,7.0,남서울
130,77,122,9.5,포천아도니스
131,29,19,7.0,남서울
132,3616,6,3.0,강남300
133,1264,55,6.0,빅토리아(P9)
134,2799,70,8.0,신안(P9)
135,1612,108,8.5,코리아
136,3580,1,10.0,360도
137,5122,125,10.0,푸른솔포천
138,2520,12,9.5,골프클럽Q(구 안성Q)
139,2301,110,6.5,큐로
140,4648,124,8.0,포천힐스
141,4648,13,7.5,그린힐
142,2853,64,6.0,솔모로
143,4009,87,10.0,여주신라
144,5759,44,10.0,몽베르
145,1452,122,10.0,포천아도니스
146,3412,53,6.0,비에이비스타퍼블릭
147,3930,122,9.0,포천아도니스
148,4708,124,6.5,포천힐스
149,1066,13,10.0,그린힐
150,4321,72,10.0,써닝포인트
151,4142,62,10.0,세현
152,2678,84,4.0,양평TPC
153,810,84,7.0,양평TPC
154,3820,124,10.0,포천힐스
155,5985,73,9.5,썬힐
156,3177,135,8.0,해솔리아
157,657,24,9.5,뉴서울
158,3834,52,7.5,비에이비스타
159,3255,38,9.0,루트52
160,3361,58,9.0,서서울
161,3021,52,5.0,비에이비스타
162,4113,124,5.5,포천힐스
163,3355,44,7.5,몽베르
164,3160,110,10.0,큐로
165,2777,13,8.0,그린힐
166,3985,57,2.5,샴발라
167,5366,73,4.0,썬힐
168,6088,110,7.5,큐로
169,276,129,10.0,한림광릉
170,4730,122,7.5,포천아도니스
171,3981,122,9.5,포천아도니스
172,1747,84,10.0,양평TPC
173,206,38,9.5,루트52
174,965,73,8.0,썬힐
175,1532,108,6.5,코리아
176,5201,84,7.5,양평TPC
177,4512,113,10.0,태광
178,5787,58,9.0,서서울
179,1366,122,10.0,포천아도니스
180,3816,111,10.0,크리스탈밸리
181,801,38,8.5,루트52
182,5660,113,9.0,태광
