,cc_num,cc_name
0,1,360도
1,2,88
2,3,H1 CLUB(구 덕평)
3,4,가산노블리스
4,5,가평베네스트
5,6,강남300
6,7,고양컨트리클럽(P9)
7,8,곤지암
8,9,골드
9,10,골프존카운티안성H
10,11,골프존카운티안성W
11,12,골프클럽Q(구 안성Q)
12,13,그린힐
13,14,글렌로스(P9)
14,15,금강
15,16,기흥
16,17,김포시사이드
17,18,남부
18,19,남서울
19,20,남수원
20,21,남양주(P9)
21,22,남여주
22,23,노스팜(구 파주프리스틴밸리)
23,24,뉴서울
24,25,뉴서울(P9)
25,26,뉴스프링빌
26,27,뉴코리아
27,28,더크로스비
28,29,라비돌(P9)
29,30,라싸
30,31,락가든
31,32,레이크사이드
32,33,레이크사이드(P)
33,34,레이크우드
34,35,레이크힐스안성(P9)
35,36,렉스필드
36,37,루나힐스안성
37,38,루트52
38,39,리베라
39,40,리앤리
40,41,링크나인(P9)
41,42,마에스트로
42,43,마이다스
43,44,몽베르
44,45,발리오스
45,46,베뉴지
46,47,베스트밸리(P9)
47,48,블랙스톤
48,49,블루원용인
49,50,블루원용인(P9)
50,51,블루헤런
51,52,비에이비스타
52,53,비에이비스타퍼블릭
53,54,비전힐스
54,55,빅토리아(P9)
55,56,사우스스프링스
56,57,샴발라
57,58,서서울
58,59,서원밸리
59,60,서원힐스
60,61,세라지오
61,62,세현
62,63,소피아그린
63,64,솔모로
64,65,솔트베이
65,66,수원
66,67,스마트KU
67,68,스카이밸리
68,69,신안
69,70,신안(P9)
70,71,실크밸리
71,72,써닝포인트
72,73,썬힐
73,74,아난티
74,75,아리지
75,76,아세코밸리(P9)
76,77,아시아나
77,78,아일랜드
78,79,안성
79,80,안성베네스트
80,81,안성베네스트(P9)
81,82,양주
82,83,양지파인
83,84,양평TPC
84,85,에덴블루
85,86,여주
86,87,여주신라
87,88,여주썬밸리
88,89,여주썬밸리(P9)
89,90,올림픽(P9)
90,91,용인
91,92,윈체스트안성
92,93,은화삼
93,94,이글몬트
94,95,이천마이다스
95,96,이포
96,97,일동레이크
97,98,일동레이크 락가든(P9)
98,99,자유
99,100,자유로
100,101,제일
101,102,중부
102,103,지산
103,104,참밸리
104,105,청평마이다스
105,106,캐슬렉스
106,107,캐슬파인
107,108,코리아
108,109,코리아(P9)
109,110,큐로
110,111,크리스탈밸리
111,112,타이거
112,113,태광
113,114,티클라우드
114,115,파인비치
115,116,파인크리크
116,117,파주
117,118,페럼
118,119,포레스트힐
119,120,포레스트힐(P6)
120,121,포천 회원제
121,122,포천아도니스
122,123,포천아도니스(P9)
123,124,포천힐스
124,125,푸른솔포천
125,126,프리스틴밸리
126,127,플라자용인
127,128,필로스
128,129,한림광릉
129,130,한림용인
130,131,한성
131,132,한양
132,133,한양파인(P9)
133,134,한원
134,135,해솔리아
135,136,화성(P9)
136,137,화성상록
